-10001 -5 -10002 -10003 -7 -1001 -10002 -1000 -10000 -10001 -1005 -1005 -1004 5 -10000 -10000 
-10001 -10002 3 -1 -10000 -1003 -1001 -10001 -10000 -10003 -10001 -1005 -10003 6 -2 -8 
-10000 -10001 -8 -10003 -2 -10000 -10003 -10003 -6 6 -10001 -1002 -10003 8 -1005 -1000 
-10001 -10003 4 -10001 -10000 -1001 -1001 -10002 1 -10000 -1004 -10002 -1001 8 -10001 -1002 
-1004 9 -6 8 -2 -9 -10003 8 -1001 -1003 -10002 7 -1004 10 -10002 -1001 
6 5 -1005 -10002 -10000 -10001 -10003 -10003 -10003 -1001 -10000 9 -1004 -10003 -10002 3 
8 -1000 -1001 -10000 -4 -10002 -10002 -1004 6 -1003 -1002 -10002 -1004 -10001 -3 -10003 
-10002 1 -10003 -10001 -10000 -1001 -10001 -10000 -10003 -10001 -10001 -1000 -5 -10003 -1002 -1000 
-10002 -10003 -10003 -10000 -1001 -1001 -10001 -10 -10003 -10002 -1003 -10000 -1003 6 -10003 -1001 
-10000 -10002 -1004 7 -1002 1 8 -1001 -10003 -9 -1005 -2 -1000 -10000 4 -1005 
-1000 -10003 -10001 -1001 -10000 -8 -3 -10000 -1003 -5 -10002 -1000 -10002 -10003 -10000 -10001 
-10000 -1003 -10002 -10003 8 2 -10002 -3 -2 -1001 -6 -1000 -1004 -1005 -5 -9 
-1000 -1001 -10001 9 -10003 -10000 8 6 -10001 -1004 -10003 6 -10000 -10001 -10003 1 
-10000 -10000 -10001 -10002 3 -3 -1003 -1003 -10003 -10002 -1001 -10001 -1005 -10003 -1005 -10003 
-10002 -10001 -1000 -10002 -10001 -1 -10001 -10002 -1002 -10000 -7 -10000 -10002 -1003 -10001 -10001 
-10000 4 -10002 -10003 -10000 8 -1000 -10001 -10003 -1004 -10000 -10002 -1002 -10002 -1004 -10001 
